Regular,Static,SPC,Bayesian
0.2406613826751709,1.3973090648651123,0.09703969955444336,5250.366430282593
0.20644164085388184,1.442296028137207,0.09104371070861816,7480.394119262695
0.44719982147216797,2.7477073669433594,0.11874651908874512,7813.43412399292
0.33449578285217285,2.6274430751800537,0.3181576728820801,7865.740027427673
0.43372249603271484,2.3001627922058105,0.1922895908355713,7972.326500892639
0.43337321281433105,2.687382936477661,0.1273937225341797,8041.919896841049
0.28437232971191406,2.674237012863159,0.29642152786254883,8178.7581622600555
0.34853076934814453,2.496777296066284,0.26835131645202637,8303.62135052681
0.44119954109191895,2.8014678955078125,0.28776001930236816,6377.363772392273
0.20183563232421875,1.4797930717468262,0.13570189476013184,5708.762256860733
